Dish_Name,name,city_state,stars,Sentiment,longitude,latitude,Avg_Sentiment,Avg_Rating,zip_code
aloo gobi,Delhi Palace Cuisine of India,"TEMPE, AZ",1.0,0.7373,-111.924806,33.42135,Good,1,85281
aloo gobi,New India Cuisine,"PHOENIX, AZ",2.0,0.9764,-112.065272,33.4760345,Excellent,2,85004
aloo gobi,Minerva Indian Cuisine,"MADISON, WI",3.0,0.873,-89.5244802753937,43.0714329015986,Excellent,3,53717
aloo gobi,Origin India Restaurant & Bar,"LAS VEGAS, NV",3.0,0.9762000000000001,-115.151261,36.108898,Excellent,3,89169
aloo gobi,Tandoori Times 3 Indian Bistro,"PHOENIX, AZ",3.0,0.9022,-112.118593,33.5958929,Excellent,3,85029
aloo gobi,Flavors of India,"PHOENIX, AZ",3.5,0.9642999999999999,-112.0470936,33.5026383,Excellent,4,85016
aloo gobi,Saffron Flavors of India,"LAS VEGAS, NV",3.6666666666666665,0.4688666666666667,-115.250134,36.24172,Neutral,4,89130
aloo gobi,Taj Palace,"HENDERSON, NV",3.6666666666666665,0.9483666666666667,-115.11868399999999,36.01658,Excellent,4,89193
aloo gobi,Bawarchi Indian Cuisine,"PHOENIX, AZ",4.0,0.9938,-112.004267,33.640223,Excellent,4,85032
aloo gobi,India Palace,"LAS VEGAS, NV",4.0,0.6594,-115.151852,36.121237,Good,4,89109
aloo gobi,Indian Delhi Palace,"PHOENIX, AZ",4.0,0.9845,-111.9718284,33.4657562,Excellent,4,85008
aloo gobi,Mother India's Cafe,"EDINBURGH, EDH",4.0,0.972,-3.1859369,55.9480417,Excellent,4,EH1 1LT
aloo gobi,New India Bazaar,"PHOENIX, AZ",4.0,0.9535666666666667,-112.065637,33.476084,Excellent,4,85004
aloo gobi,Star of India,"PHOENIX, AZ",4.0,0.998,-111.9945819,33.304667,Excellent,4,85048
aloo gobi,Tamba Indian Cuisine & Lounge,"LAS VEGAS, NV",4.0,0.95984,-115.17204,36.106542,Excellent,4,89158
aloo gobi,Kabab Palace,"TEMPE, AZ",4.5,0.94705,-111.947591,33.349676,Excellent,5,85284
aloo gobi,Nandini Indian Cuisine,"TEMPE, AZ",4.5,0.97785,-111.9075196,33.406601,Excellent,5,85282
aloo gobi,OM Restaurant,"LAS VEGAS, NV",4.5,0.9603999999999999,-115.118054364,36.0181306467,Excellent,5,89193
aloo gobi,India Oven,"MESA, AZ",4.666666666666667,0.9932,-111.7880553,33.3916626,Excellent,5,85204
aloo gobi,Maharaja Restaurant,"MADISON, WI",5.0,0.9882,-89.4976609,43.056081,Excellent,5,53717
aloo gobi,Mint Indian Bistro,"LAS VEGAS, NV",5.0,0.9904,-115.147404670715,36.1148754728254,Excellent,5,89154
aloo gobi,Mount Everest India's Cuisine,"LAS VEGAS, NV",5.0,0.9776,-115.189818,36.143955,Excellent,5,89102
aloo gobi,Pak Afghan Halal Restaurant & Catering,"PHOENIX, AZ",5.0,0.9974,-111.995926,33.467014,Excellent,5,85008
aloo matar,Royal India Bistro,"LAS VEGAS, NV",3.0,0.9957,-115.186442,36.118699,Excellent,3,89103
aloo matar,India Palace,"LAS VEGAS, NV",4.0,0.9989,-115.151852,36.121237,Excellent,4,89109
aloo matar,Indian Delhi Palace,"PHOENIX, AZ",4.0,0.9945,-111.9718284,33.4657562,Excellent,4,85008
aloo matar,Indian Paradise,"SCOTTSDALE, AZ",4.5,0.9592499999999999,-111.904171575451,33.6222859533147,Excellent,5,85260
aloo matar,Curry Corner,"TEMPE, AZ",5.0,0.9618,-111.9199826,33.4153102,Excellent,5,85281
aloo tikki,Curry Corner,"TEMPE, AZ",3.0,0.9799,-111.9199826,33.4153102,Excellent,3,85281
aloo tikki,Tandoori Times Indian Bistro,"SCOTTSDALE, AZ",3.4285714285714284,0.9182285714285714,-111.900456296182,33.5552118623002,Excellent,4,85258
